interpro	Class
IPR016355	Binding
IPR023257	Binding
IPR028355	Binding
IPR033544	Binding
IPR001730	Cleavage
IPR001731	Binding
IPR001732	Oxidoreductase
IPR001739	Binding
IPR001747	Unknown
IPR001751	Binding
IPR001752	Binding
IPR001762	Cleavage / Inhibitor
IPR001764	Hydrolase
IPR001765	Binding
IPR019560	Binding
IPR001769	Cleavage
IPR001774	Binding / Ligand
IPR001781	Binding
IPR033725	Binding
IPR033726	Binding
IPR033727	Binding
IPR001787	Binding
IPR001788	Binding
IPR001791	Binding
IPR001795	Binding
IPR001799	Binding / Ligand
IPR001801	Binding
IPR001802	Binding
IPR011795	Binding
IPR001804	Oxidoreductase
IPR011829	Oxidoreductase
IPR014273	Binding
IPR004429	Oxidoreductase
IPR004434	Oxidoreductase
IPR004439	Oxidoreductase
IPR011828	Oxidoreductase
IPR023698	Oxidoreductase
IPR001810	Binding / Protein
IPR001811	Factor
IPR033899	Factor
IPR001815	Cleavage
IPR001818	Cleavage
IPR001818	Binding
IPR033739	Cleavage
IPR033739	Binding
IPR034033	Cleavage
IPR034033	Binding
IPR001821	Binding
IPR001827	Binding
IPR001834	Oxidoreductase
IPR033566	Oxidoreductase
IPR001837	Binding
IPR028419	Binding
IPR028415	Binding
IPR028418	Binding
IPR001839	Factor
IPR001841	Binding / Protein
IPR001841	Binding
IPR024766	Binding
IPR027370	Binding / Protein
IPR027934	Binding / Protein
IPR032043	Binding / Protein
IPR027370	Binding
IPR027934	Binding
IPR032043	Binding
IPR001842	Cleavage
IPR001842	Binding
IPR001843	Cleavage
IPR001846	Binding
IPR001847	Cleavage
IPR001849	Binding / Lipid, Targeting
IPR024774	Binding / Protein
IPR001850	Binding
IPR001867	Binding
IPR001870	Binding / Protein
IPR003879	Binding / Protein
IPR001875	Binding / Protein
IPR001876	Binding
IPR031558	Binding
IPR001878	Binding
IPR025829	Binding
IPR001879	Unknown
IPR001881	Binding
IPR001884	Binding
IPR022847	Binding
IPR001890	Binding
IPR001892	Binding
IPR019977	Binding
IPR019980	Binding
IPR001907	Cleavage
IPR001909	Binding
IPR003655	Binding
IPR001915	Cleavage
IPR001917	Transferase
IPR001919	Hydrolase
IPR001919	Binding / Sugar
IPR001928	Cleaved
IPR001932	Hydrolase / Phospho
IPR001937	Binding
IPR001940	Cleavage
IPR011782	Cleavage
IPR011783	Cleavage
IPR001941	Factor
IPR001943	Binding / Protein
IPR001944	Hydrolase
IPR026283	Hydrolase
IPR001945	Binding
IPR001948	Binding
IPR022983	Binding
IPR022984	Binding
IPR033818	Binding
IPR001949	Binding
IPR001951	Binding
IPR001952	Hydrolase / Phospho
IPR001955	Factor
IPR015480	Factor
IPR001957	Binding
IPR001965	Binding / Protein
IPR001965	Binding
IPR019787	Binding / Protein
IPR001989	Oxidoreductase
IPR001997	Binding
IPR029980	Binding
IPR002004	Binding
IPR002008	Binding
IPR002012	Factor
IPR002017	Binding / Protein
IPR002023	Oxidoreductase
IPR002035	Adhesion / Metal-dependent
IPR007198	Adhesion / Metal-dependent
IPR025861	Adhesion / Metal-dependent
IPR033881	Adhesion / Metal-dependent
IPR002036	Cleavage
IPR002037	Hydrolase
IPR002045	Binding
IPR002047	Factor
IPR002048	Binding
IPR002049	Binding / Protein
IPR002052	Binding
IPR002052	Transferase
IPR002054	Binding
IPR002057	Oxidoreductase
IPR002059	Binding
IPR002060	Transferase
IPR006449	Transferase
IPR017827	Transferase
IPR017828	Transferase
IPR002071	Binding
IPR002072	Binding / Ligand
IPR002083	Binding / Protein
IPR002085	Binding
IPR002085	Oxidoreductase
IPR004627	Binding
IPR014182	Binding
IPR014183	Binding
IPR026583	Binding
IPR028632	Binding
IPR005903	Oxidoreductase
IPR014184	Oxidoreductase
IPR010085	Binding
IPR014187	Binding
IPR014188	Binding
IPR014189	Binding
IPR014190	Binding
IPR017614	Binding
IPR017743	Binding
IPR017816	Binding
IPR023921	Binding
IPR033915	Binding
IPR010085	Oxidoreductase
IPR014187	Oxidoreductase
IPR014188	Oxidoreductase
IPR014189	Oxidoreductase
IPR014190	Oxidoreductase
IPR017614	Oxidoreductase
IPR017743	Oxidoreductase
IPR017816	Oxidoreductase
IPR023921	Oxidoreductase
IPR033915	Oxidoreductase
IPR002092	Binding
IPR002100	Binding
IPR002100	Stabilisation / Oligomerisation
IPR033896	Binding
IPR033897	Binding
IPR033896	Stabilisation / Oligomerisation
IPR033897	Stabilisation / Oligomerisation
IPR002102	Binding / Sugar
IPR002104	Binding
IPR002105	Hydrolase
IPR002108	Binding
IPR002110	Binding / Protein
IPR002112	Binding
IPR015558	Binding
IPR029822	Binding
IPR029823	Binding
IPR002117	Binding
IPR032645	Binding
IPR032646	Binding
IPR002119	Binding
IPR021171	Binding
IPR002121	Binding
IPR022758	Binding
IPR002123	Transferase
IPR004552	Transferase
IPR002125	Binding
IPR002126	Binding
IPR002130	Isomerase / unfolded protein
IPR025658	Isomerase / unfolded protein
IPR002143	Binding
IPR005878	Binding
IPR005879	Binding
IPR023669	Binding
IPR002148	Binding
IPR002155	Transferase
IPR012806	Transferase
IPR012793	Transferase
IPR012805	Transferase
IPR002156	Binding
IPR002160	Cleavage / Inhibitor
IPR016308	Cleavage / Inhibitor
IPR002165	Unknown
IPR002166	Binding
IPR002168	Hydrolase
IPR002169	Cleavage
IPR002169	Binding
IPR002172	Binding / Protein
IPR002173	Kinase
IPR002181	Binding
IPR002183	Factor
IPR002186	Binding
IPR002192	Kinase
IPR002204	Oxidoreductase
IPR002205	Binding
IPR002209	Factor
IPR028253	Factor
IPR028279	Factor
IPR028284	Factor
IPR028210	Factor
IPR028223	Factor
IPR028232	Factor
IPR028239	Factor
IPR028240	Factor
IPR028242	Factor
IPR028247	Factor
IPR028249	Factor
IPR028251	Factor
IPR028252	Factor
IPR028254	Factor
IPR028285	Factor
IPR028287	Factor
IPR028289	Factor
IPR028291	Factor
IPR028292	Factor
IPR028296	Factor
IPR028303	Factor
IPR028304	Factor
IPR002223	Cleavage / Inhibitor
IPR002225	Oxidoreductase
IPR002227	Oxidoreductase
IPR002241	Hydrolase
IPR006215	Hydrolase
IPR002288	Binding
IPR002290	Kinase
IPR002295	Binding
IPR002297	Binding
IPR002300	Binding
IPR002301	Binding
IPR023585	Binding
IPR023586	Binding
IPR002302	Binding
IPR002303	Binding
IPR022874	Binding
IPR002305	Binding
IPR002306	Binding
IPR002307	Binding
IPR020653	Binding
IPR024109	Binding
IPR023617	Binding
IPR023678	Binding
IPR023684	Binding
IPR024088	Binding
IPR024107	Binding
IPR024108	Binding
IPR002310	Binding
IPR002312	Binding
IPR004522	Binding
IPR004523	Binding
IPR004524	Binding
IPR002314	Binding
IPR033721	Binding
IPR033728	Binding
IPR033729	Binding
IPR033730	Binding
IPR033731	Binding
IPR002315	Binding
IPR022960	Binding
IPR022961	Binding
IPR002317	Binding
IPR002318	Binding
IPR022429	Binding
IPR023033	Binding
IPR027522	Binding
IPR002328	Binding
IPR002328	Oxidoreductase
IPR002343	Binding
IPR006546	Binding
IPR006548	Binding
IPR002344	Binding
IPR002346	Oxidoreductase
IPR002350	Binding / Protein
IPR002354	Factor
IPR002355	Binding
IPR002364	Binding
IPR002364	Oxidoreductase
IPR002369	Adhesion / Metal-dependent
IPR002415	Binding
IPR002421	Binding
IPR002427	Oxidoreductase
IPR002429	Binding
IPR002464	Binding
IPR002466	Binding
IPR002470	Cleavage
IPR002471	Cleavage
IPR002477	Binding / Peptidoglycan
IPR002478	Binding
IPR004521	Binding
IPR002489	Oxidoreductase
IPR017550	Binding
IPR002492	Binding
IPR002502	Hydrolase
IPR006619	Binding
IPR006619	Hydrolase
IPR002505	Transferase
IPR004614	Transferase
IPR002506	Binding
IPR002508	Hydrolase
IPR002509	Hydrolase
IPR017625	Hydrolase
IPR002510	Cleavage
IPR025502	Cleavage
IPR002514	Binding
IPR002515	Binding
IPR002525	Binding
IPR002527	Binding
IPR002527	Cleavage
IPR002527	Transferase
IPR002527	Hydrolase
IPR002533	Cleavage
IPR002543	Binding
IPR002546	Binding
IPR002548	Cleavage
IPR002558	Binding
IPR002559	Binding
IPR002562	Binding
IPR002563	Binding
IPR002568	Binding
IPR002571	Binding
IPR002583	Binding
IPR002588	Binding
IPR002610	Cleavage
IPR017092	Cleavage
IPR017213	Cleavage
IPR023662	Cleavage
IPR002628	Binding
IPR002629	Binding
IPR002631	Binding
IPR002637	Hydrolase
IPR020922	Hydrolase
IPR027502	Hydrolase
IPR002643	Binding
IPR002646	Binding
IPR002653	Binding
IPR002656	Transferase
IPR002681	Binding
IPR016405	Binding
IPR002683	Binding
IPR002686	Binding
IPR002692	Hydrolase
IPR014395	Hydrolase
IPR002693	Binding
IPR002694	Binding
IPR002702	Binding
